编号,小区人口数,横坐标,纵坐标,所属区域,需求,节点类别
1,2417,57.9025000000009,62.1323333333332,宽城区,966.8000000000001,31
2,9080,51.7922500000019,61.6066666666673,宽城区,3632.0,48
3,1333,54.8022500000016,54.8809999999994,宽城区,533.2,50
4,2658,54.2157500000009,67.8423333333337,宽城区,1063.2,43
5,3033,56.7305000000005,61.4793333333334,宽城区,1213.2,17
6,5450,47.8217500000007,65.6379999999999,宽城区,2180.0,55
7,3806,57.8710000000022,59.0090000000008,宽城区,1522.4,18
8,4853,53.9115000000017,68.6316666666661,宽城区,1941.2,20
9,2002,54.8905000000026,67.5750000000003,宽城区,800.8000000000001,16
10,2775,57.7405000000013,64.6423333333341,宽城区,1110.0,30
11,3504,58.3552500000017,69.7093333333333,宽城区,1401.6000000000001,37
12,1184,54.7114999999998,61.394,宽城区,473.6,69
13,2272,57.8122500000013,65.9596666666668,宽城区,908.8000000000001,19
14,5498,53.9822500000007,72.235333333334,宽城区,2199.2000000000003,55
15,2589,57.7500000000022,62.8986666666667,宽城区,1035.6000000000001,43
16,8007,60.6930000000006,66.1620000000009,宽城区,3202.8,0
17,2766,57.7760000000005,59.8536666666666,宽城区,1106.4,30
18,8960,58.3402500000005,68.8910000000007,宽城区,3584.0,52
19,1548,58.5285000000013,66.3123333333336,宽城区,619.2,2
20,3395,58.4544999999999,58.3376666666666,宽城区,1358.0,8
21,1027,58.9427499999999,62.9830000000003,宽城区,410.8,1
22,3825,46.3572499999998,60.5233333333336,宽城区,1530.0,18
23,1566,57.6880000000024,63.8290000000007,宽城区,626.4000000000001,2
24,1837,58.7832500000012,63.8556666666664,宽城区,734.8000000000001,64
25,2176,53.8170000000022,56.4060000000003,宽城区,870.4000000000001,19
26,2900,63.415250000002,53.2693333333327,宽城区,1160.0,40
27,1290,52.5747500000016,62.800333333333,宽城区,516.0,50
28,1361,58.7480000000014,64.5243333333336,宽城区,544.4,50
29,2000,60.3477500000018,57.4190000000006,宽城区,800.0,16
